frame,flow_left,flow_center,flow_right,delta_left,delta_center,delta_right,flow_std,left_count,center_count,right_count,brake_thres,dodge_thres,probe_req,fps,state,collided,obstacle,side_safe,pos_x,pos_y,pos_z,yaw,speed,time,features,simgetimage_s,decode_s,processing_s,loop_s
114,10.687,8.842,10.373,-0.032,0.771,0.620,83.577,5,116,26,5.38,2.19,0.00,6.86,none,0,1,1,20.27,0.01,-0.43,-0.61,0.13,1751309599.27,147,0.095,0.021,0.027,0.146
115,11.426,9.507,10.769,0.739,0.666,0.396,91.073,16,95,30,5.64,2.32,0.00,7.91,none,0,1,0,20.27,0.03,-0.43,-0.82,0.21,1751309599.42,141,0.079,0.021,0.024,0.126
116,11.879,10.266,11.377,0.453,0.758,0.608,90.472,18,97,35,5.97,2.48,0.00,8.13,none,0,1,0,20.27,0.06,-0.44,-0.91,0.32,1751309599.54,150,0.076,0.021,0.023,0.123
117,12.143,10.923,11.729,0.264,0.657,0.352,53.316,22,90,37,6.27,2.64,0.00,7.88,none,0,1,0,20.27,0.11,-0.44,-0.96,0.42,1751309599.67,149,0.079,0.023,0.024,0.127
118,12.411,11.179,11.674,0.268,0.256,-0.055,71.531,23,78,47,6.54,2.77,0.00,8.25,none,0,1,0,20.26,0.16,-0.43,-0.97,0.51,1751309599.79,148,0.073,0.023,0.025,0.121
119,12.553,11.487,11.676,0.142,0.308,0.001,78.708,23,76,51,6.77,2.89,0.00,7.82,none,0,1,0,20.26,0.23,-0.43,-0.98,0.59,1751309599.91,150,0.076,0.022,0.026,0.128
120,12.465,11.619,11.765,-0.088,0.132,0.090,74.988,29,62,55,6.98,2.99,0.00,7.64,none,0,1,0,20.26,0.32,-0.43,-0.98,0.66,1751309600.04,146,0.085,0.022,0.022,0.131
121,12.440,11.569,11.448,-0.025,-0.050,-0.317,77.722,21,65,63,7.16,3.08,0.00,7.41,none,0,1,0,20.25,0.41,-0.43,-0.98,0.72,1751309600.17,149,0.087,0.024,0.022,0.135
122,12.221,11.911,10.927,-0.219,0.342,-0.521,83.611,43,58,47,7.29,3.15,0.00,8.02,none,0,1,0,20.25,0.50,-0.43,-0.98,0.76,1751309600.31,148,0.076,0.023,0.025,0.125
123,12.526,12.542,11.374,0.305,0.632,0.447,82.749,51,57,40,7.42,3.21,0.00,7.02,none,0,1,0,20.25,0.61,-0.42,-0.97,0.81,1751309600.43,148,0.095,0.021,0.023,0.142
124,12.950,13.065,10.939,0.424,0.522,-0.435,112.567,48,49,51,7.51,3.26,0.00,8.06,none,0,1,0,20.25,0.71,-0.42,-0.97,0.84,1751309600.58,148,0.075,0.024,0.025,0.124
125,12.485,13.576,10.537,-0.465,0.511,-0.402,104.616,49,52,48,7.60,3.30,0.00,7.32,none,0,1,0,20.25,0.83,-0.42,-0.97,0.87,1751309600.70,149,0.073,0.024,0.025,0.137
126,12.353,13.796,9.810,-0.132,0.220,-0.727,97.637,53,51,44,7.66,3.33,0.00,8.54,none,0,1,0,20.25,0.93,-0.42,-0.97,0.89,1751309600.84,148,0.078,0.026,0.024,0.117
127,12.544,13.701,9.461,0.191,-0.095,-0.349,104.214,36,71,42,7.72,3.36,0.00,7.28,none,0,1,0,20.25,1.06,-0.41,-0.97,0.91,1751309600.95,149,0.076,0.022,0.037,0.137
128,12.966,13.778,9.455,0.422,0.077,-0.006,95.031,25,93,30,7.76,3.38,0.00,7.70,none,0,1,0,20.25,1.17,-0.41,-0.97,0.92,1751309601.09,148,0.081,0.023,0.025,0.130
129,13.226,13.443,9.294,0.261,-0.334,-0.161,79.529,31,91,27,7.80,3.40,0.00,7.73,none,0,1,0,20.25,1.29,-0.41,-0.97,0.93,1751309601.22,149,0.082,0.021,0.024,0.129
130,13.722,13.077,9.005,0.496,-0.366,-0.289,82.856,20,89,39,7.83,3.42,0.00,7.60,none,0,1,0,20.25,1.42,-0.41,-0.97,0.94,1751309601.35,148,0.085,0.021,0.025,0.132
131,14.196,12.657,8.871,0.474,-0.420,-0.134,84.030,18,83,47,7.86,3.43,0.00,8.17,none,0,1,0,20.25,1.53,-0.41,-0.97,0.95,1751309601.48,148,0.072,0.025,0.023,0.122
132,14.699,11.941,8.751,0.502,-0.716,-0.120,83.594,20,60,68,7.88,3.44,0.00,8.18,none,0,1,0,20.25,1.65,-0.41,-0.97,0.96,1751309601.60,148,0.075,0.022,0.024,0.122
133,15.195,11.189,8.483,0.496,-0.752,-0.268,80.574,16,59,74,7.89,3.45,0.00,8.54,none,0,1,0,20.26,1.76,-0.41,-0.97,0.96,1751309601.73,149,0.071,0.022,0.022,0.117
134,15.643,10.157,8.189,0.448,-1.031,-0.294,73.551,19,43,86,7.91,3.45,0.00,8.06,none,0,1,0,20.26,1.88,-0.40,-0.97,0.97,1751309601.84,148,0.077,0.021,0.026,0.124
135,15.961,9.151,8.152,0.318,-1.007,-0.036,75.494,20,30,98,7.92,3.46,0.00,8.49,none,0,1,0,20.26,1.99,-0.40,-0.97,0.97,1751309601.97,148,0.072,0.020,0.024,0.118
136,16.145,8.305,8.258,0.184,-0.845,0.106,73.028,15,32,101,7.93,3.47,0.00,8.40,none,0,1,0,20.26,2.11,-0.40,-0.97,0.98,1751309602.09,148,0.074,0.020,0.023,0.119
137,15.861,7.812,8.344,-0.284,-0.493,0.086,72.682,25,34,88,7.94,3.47,0.00,8.30,resume,0,0,0,20.26,2.23,-0.40,-0.97,0.98,1751309602.20,147,0.074,0.021,0.023,0.121
138,15.450,7.396,8.379,-0.411,-0.416,0.035,77.767,19,33,97,8.18,3.59,0.00,8.78,none,0,0,0,20.27,2.34,-0.38,-0.73,1.06,1751309602.32,149,0.071,0.020,0.022,0.114
139,15.513,8.034,8.737,0.063,0.638,0.358,86.349,17,33,97,8.26,3.63,0.00,7.76,none,0,0,0,20.28,2.46,-0.31,-0.27,1.09,1751309602.44,147,0.083,0.021,0.023,0.129
140,15.504,8.441,9.089,-0.009,0.407,0.353,78.994,16,32,100,8.08,3.54,0.00,7.75,brake,0,1,0,20.32,2.56,-0.24,0.02,1.03,1751309602.57,148,0.084,0.020,0.024,0.129
141,15.412,8.811,9.493,-0.092,0.370,0.403,49.276,6,35,108,6.08,2.54,0.00,1.55,dodge_left,0,1,1,20.61,2.89,-0.22,-0.87,0.36,1751309602.70,149,0.086,0.020,0.024,0.645
